image_2,image_1,rt,correct,type,VerbalScored,high_low_verbal,worker_id,trial_no_ptcp
bag,flag,1335.8,1,ortho,2.25,low_verbal,05Wo9IGy,25
bag,flag,1508.9,1,ortho,1.75,low_verbal,0CxunTLR,53
bag,flag,1952.3,0,ortho,2.42,low_verbal,0EwA9ugv,46
bag,flag,1509.8,1,ortho,2.58,low_verbal,0X9nY8Ym,42
bag,flag,1202,1,ortho,2.833333333,low_verbal,1hM1LUCj,39
bag,flag,1259.5,1,ortho,4.166667,high_verbal,26Z3U4Qu,45
bag,flag,4751.7,0,ortho,3.083333333,low_verbal,2dXRa5Zq,28
bag,flag,2180.2,1,ortho,4.67,high_verbal,2Ie4vXKm,53
bag,flag,1732.5,1,ortho,1.83,low_verbal,3DHBLnqj,46
bag,flag,2350.5,1,ortho,4.92,high_verbal,3HwZ3aSO,11
bag,flag,2305.5,1,ortho,4.83,high_verbal,4ELANfYv,4
bag,flag,1754,1,ortho,4.833333333,high_verbal,4FubSY7J,9
bag,flag,2013.5,1,ortho,3.083333333,low_verbal,4KFmznfv,50
bag,flag,1805.1,1,ortho,1.33,low_verbal,5WF1GwNy,4
bag,flag,1238.9,1,ortho,4.5,high_verbal,79p4hVcb,19
bag,flag,1096.4,1,ortho,4.666666667,high_verbal,7eDZS0g9,32
bag,flag,2300.9,0,ortho,2.92,low_verbal,7rrmnKSW,47
bag,flag,3095.7,1,ortho,2.17,low_verbal,7rvMjiCW,33
bag,flag,1401.7,1,ortho,2.833333333,low_verbal,8Mnv01S8,7
bag,flag,3518.3,1,ortho,2.75,low_verbal,8yyEgSuX,30
bag,flag,1091.9,1,ortho,5,high_verbal,AvRdAeDp,30
bag,flag,1075.6,1,ortho,2.25,low_verbal,AZihdj82,2
bag,flag,2875.5,1,ortho,4.75,high_verbal,BfCux7Qy,29
bag,flag,1895.9,1,ortho,4.67,high_verbal,bj3SfFHq,9
bag,flag,1855.3,1,ortho,4.166667,high_verbal,c8Txd3Z5,7
bag,flag,1648,1,ortho,1,low_verbal,CPt18YMj,22
bag,flag,1551.5,1,ortho,2.916666667,low_verbal,Ds5BnIYz,35
bag,flag,1647.5,1,ortho,4.75,high_verbal,DuDDHkI9,21
bag,flag,1345.9,1,ortho,4.333333,high_verbal,duTSHxzu,15
bag,flag,2220.9,1,ortho,3.25,low_verbal,e3BB2RMg,2
bag,flag,1705,1,ortho,3.17,low_verbal,Ezm1v61p,35
bag,flag,1885,1,ortho,3,low_verbal,fbKqS6qy,4
bag,flag,1440.7,1,ortho,1.42,low_verbal,fX6rWWkd,22
bag,flag,1463.2,1,ortho,2.58,low_verbal,GJMX4RUC,35
bag,flag,2466,1,ortho,3,low_verbal,gmTxt8dp,31
bag,flag,1188.3,1,ortho,4.67,high_verbal,gY67hxD2,28
bag,flag,2272.9,1,ortho,2.42,low_verbal,HPiIXyO1,24
bag,flag,1669.7,1,ortho,2.833333333,low_verbal,hRiDYGB2,27
bag,flag,1183.3,1,ortho,4.58,high_verbal,hsk1bUWA,14
bag,flag,1927,1,ortho,4.75,high_verbal,IbadRTNw,20
bag,flag,1894.6,0,ortho,4.92,high_verbal,IGrNgFbi,37
bag,flag,2043.9,1,ortho,4.583333333,high_verbal,IMlP20yi,4
bag,flag,1665.6,1,ortho,1.92,low_verbal,JeMnPabT,1
bag,flag,1925,1,ortho,5,high_verbal,Ki4GHif7,39
bag,flag,1173.4,1,ortho,4.5,high_verbal,KPfJRNRo,13
bag,flag,1644.5,1,ortho,2.58,low_verbal,lAeE5wTL,12
bag,flag,2527.4,1,ortho,4.67,high_verbal,lcQfoynH,10
bag,flag,1450.2,1,ortho,4.666667,high_verbal,LpHjkqKd,20
bag,flag,1578.8,1,ortho,1.08,low_verbal,LyXqRZhM,31
bag,flag,1480,1,ortho,5,high_verbal,m6nAacjH,15
bag,flag,1691,0,ortho,2.666666667,low_verbal,mqvAJ91n,24
bag,flag,1396.4,1,ortho,1.75,low_verbal,mZqk099M,21
bag,flag,2016,1,ortho,4.666667,high_verbal,NCar5SZo,53
bag,flag,1849.5,1,ortho,4.75,high_verbal,NRFUWLZO,48
bag,flag,1638.9,1,ortho,3.083333333,low_verbal,NS1YHcvi,26
bag,flag,2078.3,1,ortho,1.92,low_verbal,Ny0Ml3uz,11
bag,flag,1184.2,1,ortho,2.5,low_verbal,OE580Gi8,10
bag,flag,1597.6,1,ortho,4.67,high_verbal,OHHIBcMJ,15
bag,flag,1291,1,ortho,2.916666667,low_verbal,OwZfp5qv,14
bag,flag,1399,1,ortho,2.916666667,low_verbal,ozMU0TCL,50
bag,flag,1818.8,1,ortho,4.916666667,high_verbal,Po8DLpvd,1
bag,flag,1931.4,0,ortho,4.333333,high_verbal,Ps3HVmAH,43
bag,flag,1383.6,0,ortho,1.5,low_verbal,pylKRwzb,45
bag,flag,1477.6,1,ortho,5,high_verbal,qFEgGDhX,50
bag,flag,1399.1,1,ortho,3,low_verbal,qkCSFiGm,15
bag,flag,1519.3,1,ortho,4.166667,high_verbal,qPOXJpNv,2
bag,flag,1766.3,1,ortho,4.416667,high_verbal,Qy5J1Mxs,23
bag,flag,2323,1,ortho,2.58,low_verbal,rdIExOr9,19
bag,flag,783.1,1,ortho,4.166667,high_verbal,RHqN8QGm,23
bag,flag,1806.4,1,ortho,4.67,high_verbal,RlmJUu78,5
bag,flag,1654,1,ortho,4.25,high_verbal,sZLRQDIR,2
bag,flag,3492.8,1,ortho,2.33,low_verbal,TFWelN7f,51
bag,flag,1216.9,1,ortho,4.25,high_verbal,ts7nbQkN,53
bag,flag,3621,1,ortho,4.583333333,high_verbal,U8Rxi9rz,12
bag,flag,1453.3,1,ortho,1.67,low_verbal,UhCBWnbb,33
bag,flag,1294.3,1,ortho,2.17,low_verbal,vhsbIoXa,47
bag,flag,1422,1,ortho,2.83,low_verbal,VxHNyXXR,47
bag,flag,751,1,ortho,2.67,low_verbal,wDmKNbjb,7
bag,flag,1037,1,ortho,4.666666667,high_verbal,WewWn58j,20
bag,flag,1702.1,1,ortho,3,low_verbal,xa4C6HC1,26
bag,flag,1784.4,1,ortho,1.75,low_verbal,Xa9ISMwC,53
bag,flag,1407.4,1,ortho,2.58,low_verbal,xMXJBD7Y,46
bag,flag,1072,1,ortho,4.833333333,high_verbal,xnNpmgQR,25
bag,flag,1190.8,1,ortho,4.75,high_verbal,XTcCmXvP,12
bag,flag,1497,1,ortho,4.75,high_verbal,XWkUpOyp,28
bag,flag,2735.4,1,ortho,4.83,high_verbal,XxuTNyUr,5
bag,flag,3300,1,ortho,4.666666667,high_verbal,y1Ud0IvQ,10
bag,flag,1006.2,1,ortho,4.583333333,high_verbal,ycrZF9Ui,51
bag,flag,1712.8,1,ortho,4.833333333,high_verbal,yduNAfJN,28
bag,flag,1541.4,1,ortho,4.92,high_verbal,yI870PhA,30
bag,flag,1779.5,1,ortho,4.92,high_verbal,zfMwhrdi,45
bag,flag,1564.5,1,ortho,2.17,low_verbal,zzU1ectZ,28
beer,deer,1429.4,1,ortho,2.25,low_verbal,05Wo9IGy,18
beer,claw,2893.5,1,NR,2.25,low_verbal,05Wo9IGy,39
beer,deer,1734.6,1,ortho,1.75,low_verbal,0CxunTLR,6
beer,claw,2089.7,1,NR,1.75,low_verbal,0CxunTLR,12
beer,deer,1056.8,0,ortho,2.42,low_verbal,0EwA9ugv,26
beer,claw,909.5,1,NR,2.42,low_verbal,0EwA9ugv,33
beer,deer,2612.1,0,ortho,2.58,low_verbal,0X9nY8Ym,22
beer,claw,1429,1,NR,2.58,low_verbal,0X9nY8Ym,40
beer,deer,4892,1,ortho,2.833333333,low_verbal,1hM1LUCj,18
beer,claw,3313,1,NR,2.833333333,low_verbal,1hM1LUCj,47
beer,claw,1927.3,1,NR,4.166667,high_verbal,26Z3U4Qu,26
beer,deer,1515.7,1,ortho,4.166667,high_verbal,26Z3U4Qu,30
beer,claw,2170.7,1,NR,3.083333333,low_verbal,2dXRa5Zq,12
beer,deer,2828.9,1,ortho,3.083333333,low_verbal,2dXRa5Zq,50
beer,deer,1156.8,1,ortho,4.67,high_verbal,2Ie4vXKm,8
beer,claw,1797.6,1,NR,4.67,high_verbal,2Ie4vXKm,11
beer,deer,2137.7,1,ortho,1.83,low_verbal,3DHBLnqj,14
beer,claw,2218.6,0,NR,1.83,low_verbal,3DHBLnqj,45
beer,claw,2039.7,1,NR,4.92,high_verbal,3HwZ3aSO,7
beer,deer,2134.7,0,ortho,4.92,high_verbal,3HwZ3aSO,19
beer,deer,1752.3,1,ortho,4.83,high_verbal,4ELANfYv,9
beer,claw,2056.2,1,NR,4.83,high_verbal,4ELANfYv,34
beer,deer,2150.4,1,ortho,4.833333333,high_verbal,4FubSY7J,25
beer,claw,2542,1,NR,4.833333333,high_verbal,4FubSY7J,26
beer,claw,3955.3,1,NR,3.083333333,low_verbal,4KFmznfv,21
beer,deer,3544.2,1,ortho,3.083333333,low_verbal,4KFmznfv,49
beer,deer,1812,1,ortho,1.33,low_verbal,5WF1GwNy,15
beer,claw,2150.9,1,NR,1.33,low_verbal,5WF1GwNy,41
